Localización;Nacionalidad;Fecha;Ambos;Hombres;Mujeres
España;Taiwán;31/12/2019;728;286;442
España;Tanzania;31/12/2019;30;18;12
España;Tayikistán;31/12/2019;7;3;4
España;Togo;31/12/2019;13;8;5
España;Trinidad y Tobago;31/12/2019;33;9;24
España;Túnez;31/12/2019;224;111;113
España;Turkmenistán;31/12/2019;11;11;0
España;Turquía;31/12/2019;594;285;309
España;Ucrania;31/12/2019;706;231;475
España;Uganda;31/12/2019;28;17;11
España;Uruguay;31/12/2019;307;144;163
España;Uzbekistán;31/12/2019;43;24;19
España;Vanuatu;31/12/2019;0;0;0
España;Venezuela;31/12/2019;1536;679;857
España;Vietnam;31/12/2019;259;89;170
España;Yemen;31/12/2019;23;17;6
España;Yibuti;31/12/2019;4;3;1
España;Zambia;31/12/2019;10;6;4
España;Zimbabue;31/12/2019;30;15;15
España;Todas las nacionalidades;31/12/2018;785002;336305;448697
España;Afganistán;31/12/2018;10;7;3
España;Albania;31/12/2018;85;35;50
España;Andorra;31/12/2018;55;27;28
España;Angola;31/12/2018;60;34;26
España;Antigua y Barbuda;31/12/2018;2;1;1
España;Arabia Saudí;31/12/2018;158;114;44
España;Argelia;31/12/2018;440;286;154
España;Argentina;31/12/2018;1235;548;687
España;Armenia;31/12/2018;34;18;16
España;Australia;31/12/2018;249;112;137
España;Azerbaiyán;31/12/2018;63;44;19
España;Bahamas;31/12/2018;4;0;4
España;Bahrein;31/12/2018;18;18;0
España;Bangladés;31/12/2018;36;24;12
España;Barbados;31/12/2018;8;3;5
España;Belice;31/12/2018;2;0;2
España;Benín;31/12/2018;14;11;3
España;Bielorrusia;31/12/2018;102;21;81
España;Bolivia;31/12/2018;845;367;478
España;Bosnia-Herzegovina;31/12/2018;27;12;15
España;Botsuana;31/12/2018;4;2;2
España;Brasil;31/12/2018;1855;789;1066
España;Brunei;31/12/2018;0;0;0
España;Burkina Faso;31/12/2018;4;2;2
España;Burundi;31/12/2018;11;9;2
España;Bután;31/12/2018;3;3;0
España;Cabo Verde;31/12/2018;19;10;9
España;Camboya;31/12/2018;2;1;1
España;Camerún;31/12/2018;79;52;27
España;Canadá;31/12/2018;466;183;283
España;Chad;31/12/2018;1;1;0
España;Chile;31/12/2018;1848;901;947
España;China;31/12/2018;8445;2987;5458
España;Colombia;31/12/2018;4540;1956;2584
España;Comores;31/12/2018;1;1;0
España;Congo;31/12/2018;6;4;2
España;Corea del Norte;31/12/2018;11;11;0
España;Corea del Sur;31/12/2018;959;430;529
España;Costa de Marfil;31/12/2018;36;28;8
España;Costa Rica;31/12/2018;475;229;246
España;Cuba;31/12/2018;639;302;337
España;Dominica;31/12/2018;4;1;3
España;Ecuador;31/12/2018;3545;1613;1932
España;Egipto;31/12/2018;378;270;108
España;El Salvador;31/12/2018;427;216;211
España;Emiratos Árabes Unidos;31/12/2018;8;5;3
España;Eritrea;31/12/2018;3;3;0
España;Estados Unidos;31/12/2018;6850;2248;4602
España;Etiopía;31/12/2018;26;12;14
España;Filipinas;31/12/2018;402;136;266
España;Fiyi;31/12/2018;1;1;0
España;Gabón;31/12/2018;18;7;11
España;Gambia;31/12/2018;16;13;3
España;Georgia;31/12/2018;104;49;55
España;Ghana;31/12/2018;65;38;27
España;Granada;31/12/2018;0;0;0
España;Guatemala;31/12/2018;371;171;200
España;Guinea;31/12/2018;5;3;2
España;Guinea Bissau;31/12/2018;14;11;3
España;Guinea Ecuatorial;31/12/2018;717;351;366
España;Guyana;31/12/2018;1;1;0
España;Haití;31/12/2018;51;28;23
España;Honduras;31/12/2018;635;259;376
España;India;31/12/2018;786;561;225
España;Indonesia;31/12/2018;112;75;37
España;Irak;31/12/2018;90;70;20
España;Irán;31/12/2018;531;247;284
España;Islas Salomón;31/12/2018;0;0;0
España;Israel;31/12/2018;100;56;44
España;Jamaica;31/12/2018;18;4;14
España;Japón;31/12/2018;831;404;427
España;Jordania;31/12/2018;179;107;72
España;Kazajistán;31/12/2018;319;141;178
España;Kenia;31/12/2018;69;38;31
España;Kirguistán;31/12/2018;25;8;17
España;Kuwait;31/12/2018;27;22;5
España;Laos;31/12/2018;0;0;0
España;Lesoto;31/12/2018;0;0;0
España;Líbano;31/12/2018;331;216;115
España;Liberia;31/12/2018;4;2;2
España;Libia;31/12/2018;236;198;38
España;Macedonia;31/12/2018;29;6;23
España;Madagascar;31/12/2018;10;4;6
España;Malasia;31/12/2018;53;22;31
España;Malaui;31/12/2018;4;2;2
España;Maldivas;31/12/2018;6;4;2
España;Mali;31/12/2018;23;17;6
España;Marruecos;31/12/2018;1846;827;1019
España;Mauricio;31/12/2018;6;4;2
España;Mauritania;31/12/2018;28;22;6
España;México;31/12/2018;2913;1259;1654
España;Micronesia;31/12/2018;0;0;0
España;Moldavia;31/12/2018;6;1;5
España;Mónaco;31/12/2018;3;1;2
España;Mongolia;31/12/2018;6;0;6
España;Montenegro;31/12/2018;20;10;10
España;Mozambique;31/12/2018;25;21;4
España;Myanmar;31/12/2018;4;2;2
España;Namibia;31/12/2018;12;5;7
España;Nepal;31/12/2018;37;23;14
España;Nicaragua;31/12/2018;222;106;116
España;Níger;31/12/2018;4;4;0
España;Nigeria;31/12/2018;87;51;36
España;Nueva Zelanda;31/12/2018;58;28;30
España;Oceanía (No consta país);31/12/2018;0;0;0
España;Omán;31/12/2018;29;28;1
España;Pakistán;31/12/2018;80;69;11
España;Palestina;31/12/2018;63;46;17
España;Panamá;31/12/2018;503;204;299
España;Papúa Nueva Guinea;31/12/2018;0;0;0
España;Paraguay;31/12/2018;174;78;96
España;Perú;31/12/2018;2371;964;1407
España;Qatar;31/12/2018;6;6;0
España;Reino Unido;31/12/2018;0;0;0
España;Rep. Centroafricana;31/12/2018;2;2;0
España;Rep. Dem. del Congo;31/12/2018;64;55;9
España;República Dominicana;31/12/2018;1210;407;803
España;Ruanda;31/12/2018;10;8;2
España;Rusia;31/12/2018;1586;475;1111
España;Samoa;31/12/2018;1;1;0
España;San Cristóbal y Nieves;31/12/2018;0;0;0
España;San Marino;31/12/2018;0;0;0
España;San Vicente y Granadinas;31/12/2018;0;0;0
España;Santa Lucía;31/12/2018;2;0;2
España;Santo Tomé y Príncipe;31/12/2018;2;2;0
España;Senegal;31/12/2018;72;47;25
España;Serbia;31/12/2018;126;40;86
España;Seychelles;31/12/2018;5;3;2
España;Sierra Leona;31/12/2018;6;4;2
España;Singapur;31/12/2018;20;7;13
España;Siria;31/12/2018;71;49;22
España;Somalia;31/12/2018;3;1;2
España;Sri Lanka;31/12/2018;11;9;2
España;Suazilandia;31/12/2018;1;0;1
España;Sudáfrica;31/12/2018;118;49;69
España;Sudán;31/12/2018;17;10;7
España;Surinam;31/12/2018;0;0;0
España;Tailandia;31/12/2018;66;31;35
España;Taiwán;31/12/2018;798;331;467
España;Tanzania;31/12/2018;29;16;13
España;Tayikistán;31/12/2018;6;2;4
España;Togo;31/12/2018;13;7;6
España;Trinidad y Tobago;31/12/2018;15;3;12
España;Túnez;31/12/2018;167;73;94
España;Turkmenistán;31/12/2018;10;9;1
España;Turquía;31/12/2018;633;304;329
España;Ucrania;31/12/2018;760;261;499
España;Uganda;31/12/2018;18;12;6
España;Uruguay;31/12/2018;214;103;111
España;Uzbekistán;31/12/2018;20;13;7
España;Vanuatu;31/12/2018;0;0;0
España;Venezuela;31/12/2018;1766;807;959
España;Vietnam;31/12/2018;286;97;189
España;Yemen;31/12/2018;13;11;2
España;Yibuti;31/12/2018;0;0;0
España;Zambia;31/12/2018;5;1;4
España;Zimbabue;31/12/2018;22;11;11
España;Todas las nacionalidades;31/12/2017;364028;156031;207997
España;Afganistán;31/12/2017;20;19;1
España;Albania;31/12/2017;90;29;61
España;Andorra;31/12/2017;49;28;21
España;Angola;31/12/2017;61;33;28
España;Antigua y Barbuda;31/12/2017;1;0;1
España;Arabia Saudí;31/12/2017;129;91;38
España;Argelia;31/12/2017;374;226;148
España;Argentina;31/12/2017;1092;446;646
España;Armenia;31/12/2017;48;19;29
España;Australia;31/12/2017;235;103;132
España;Azerbaiyán;31/12/2017;70;45;25
España;Bahamas;31/12/2017;7;3;4
España;Bahrein;31/12/2017;14;14;0
España;Bangladés;31/12/2017;40;23;17
España;Barbados;31/12/2017;9;4;5
España;Belice;31/12/2017;1;0;1
